name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,additional_lanes_on_left_side,length_of_left_side_lanes,additional_lanes_on_right_side,length_of_right_side_lanes
South Maple Avenue,5591429,,,,41533540,41533544,,2,0.159158,-1,-1,,,,,,,,,"<LineString><coordinates>-111.94123,33.4176195,0.0 -111.9412063,33.4161883,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533540,41533538,,2,0.159321,-1,-1,,,,,,,,,"<LineString><coordinates>-111.94123,33.4176195,0.0 -111.9412452,33.4189046,0.0 -111.9412375,33.4190521,0.0</coordinates></LineString>",,,,,,,
West 11th Street,5691747,,,,41533540,41563460,,2,0.113464,2,40.25,,,,,,,,,"<LineString><coordinates>-111.94123,33.4176195,0.0 -111.9418156,33.417617,0.0 -111.9424525,33.4176183,0.0</coordinates></LineString>",,,,,,,
West 11th Street,5691747,,,,41533540,41662596,,2,0.112614,2,40.25,,,,,,,,,"<LineString><coordinates>-111.94123,33.4176195,0.0 -111.9405903,33.4176159,0.0 -111.9400168,33.4176266,0.0</coordinates></LineString>",,,,,,,
East Shannon Drive,369232322,,,,3730407527,41547968,,2,0.016253,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8958182,33.3866492,0.0 -111.8957082,33.3867629,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533544,41533545,,2,0.160688,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412063,33.4161883,0.0 -111.9412082,33.4147432,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533544,41533540,,2,0.159158,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412063,33.4161883,0.0 -111.94123,33.4176195,0.0</coordinates></LineString>",,,,,,,
West 12th Street,5662409,,,,41533544,41563458,,2,0.11569800000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412063,33.4161883,0.0 -111.9418103,33.4161944,0.0 -111.9424528,33.4161904,0.0</coordinates></LineString>",,,,,,,
West 12th Street,5662409,,,,41533544,41662598,,2,0.11296500000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412063,33.4161883,0.0 -111.9405834,33.4162013,0.0 -111.9399894,33.4162047,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533545,41533544,,2,0.160688,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412082,33.4147432,0.0 -111.9412063,33.4161883,0.0</coordinates></LineString>",,,,,,,
West 13th Street,196248326,,,,41533545,2065989254,,2,0.03554,-1,40.25,,,,,,,,,"<LineString><coordinates>-111.9412082,33.4147432,0.0 -111.9408253,33.4147456,0.0</coordinates></LineString>",,,,,,,
West 13th Street,196248326,,,,41533545,41563456,,2,0.112374,-1,40.25,,,,,,,,,"<LineString><coordinates>-111.9412082,33.4147432,0.0 -111.9418048,33.4147362,0.0 -111.9424188,33.4147283,0.0</coordinates></LineString>",,,,,,,
South Clark Drive,532207294,,,,41746538,41736805,,2,0.395248,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8987373,33.4257009,0.0 -111.8987581,33.4292554,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543841,,,,41746538,41746539,,2,0.15852,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8987373,33.4257009,0.0 -111.8983465,33.4256993,0.0 -111.8977835,33.4256969,0.0 -111.8970292,33.4256938,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543841,,,,41746538,41602742,,2,0.15885300000000002,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8987373,33.4257009,0.0 -111.8988961,33.4257004,0.0 -111.8994274,33.4256986,0.0 -111.900449,33.4256952,0.0</coordinates></LineString>",,,,,,,
South Rockford Drive,5636775,,,,41746539,5165002589,,2,0.39880200000000005,2,-1,,,,,,,,,"<LineString><coordinates>-111.8970292,33.4256938,0.0 -111.8970354,33.4292803,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543841,,,,41746539,41746538,,2,0.15852000000000002,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8970292,33.4256938,0.0 -111.8977835,33.4256969,0.0 -111.8983465,33.4256993,0.0 -111.8987373,33.4257009,0.0</coordinates></LineString>",,,,,,,
South Rockford Drive,550543843,,,,41746539,41896359,,2,0.11339999999999999,2,-1,,,,,,,,,"<LineString><coordinates>-111.8970292,33.4256938,0.0 -111.8970339,33.4253148,0.0 -111.8970378,33.4249989,0.0 -111.8971086,33.4247625,0.0 -111.8971322,33.4246837,0.0</coordinates></LineString>",,,,,,,
