highway,osmid,ref,x,y,geometry
,1563247139,,116.2829283,40.0468889,POINT (116.2829283 40.0468889)
,1563247143,,116.2828,40.0458796,POINT (116.2828 40.0458796)
,1563247146,,116.2826176,40.046057,POINT (116.2826176 40.046057)
,1563247148,,116.2828676,40.0459348,POINT (116.2828676 40.0459348)
,1563247160,,116.2835256,40.0460006,POINT (116.2835256 40.0460006)
,1563247167,,116.2826542,40.046401,POINT (116.2826542 40.046401)
,3300065860,,116.2125325,39.9742148,POINT (116.2125325 39.9742148)
,1808597593,,116.2294238,39.9478347,POINT (116.2294238 39.9478347)
,1808597596,,116.227997,39.9479193,POINT (116.227997 39.9479193)
,1808597602,,116.2269026,39.9477877,POINT (116.2269026 39.9477877)
,1808597603,,116.228838,39.9478695,POINT (116.228838 39.9478695)
,1808597604,,116.2280023,39.9484786,POINT (116.2280023 39.9484786)
,1808597606,,116.2263394,39.9484087,POINT (116.2263394 39.9484087)
,1808597609,,116.2281273,39.9493187,POINT (116.2281273 39.9493187)
,1808597610,,116.2312587,39.9503866,POINT (116.2312587 39.9503866)
,298582635,,116.289973,40.0421799,POINT (116.289973 40.0421799)
,1808597612,,116.2313418,39.9492054,POINT (116.2313418 39.9492054)
,918845779,,116.2772778,39.977422,POINT (116.2772778 39.977422)
,1959740016,,116.0797185,40.0812566,POINT (116.0797185 40.0812566)
,339362417,,116.3386379,40.0340779,POINT (116.3386379 40.0340779)
traffic_signals,339362424,,116.3439053,40.0343445,POINT (116.3439053 40.0343445)
,1808597631,,116.2269074,39.9467069,POINT (116.2269074 39.9467069)
,298582657,,116.2848467,40.0412954,POINT (116.2848467 40.0412954)
,1808597635,,116.2263145,39.9493782,POINT (116.2263145 39.9493782)
,754516614,,116.3196484,39.8962465,POINT (116.3196484 39.8962465)
,1808597639,,116.2287098,39.9466734,POINT (116.2287098 39.9466734)
,5612831370,,116.1980638,39.9718868,POINT (116.1980638 39.9718868)
,5612831371,,116.1983045,39.9719225,POINT (116.1983045 39.9719225)
,5612831372,,116.1983057,39.9717604,POINT (116.1983057 39.9717604)
