name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,5822074196,,,,,,-111.917584,33.4169422,"<Point><coordinates>-111.917584,33.4169422</coordinates></Point>"
,42208597,,,,,,-111.9172476,33.4031621,"<Point><coordinates>-111.9172476,33.4031621</coordinates></Point>"
,41520478,,,,,,-111.9129226,33.4001476,"<Point><coordinates>-111.9129226,33.4001476</coordinates></Point>"
,41520484,,,,,,-111.9475516,33.3717362,"<Point><coordinates>-111.9475516,33.3717362</coordinates></Point>"
,41913701,,,,,,-111.9494021,33.3716088,"<Point><coordinates>-111.9494021,33.3716088</coordinates></Point>"
,42208612,,,,,,-111.9163348,33.3983419,"<Point><coordinates>-111.9163348,33.3983419</coordinates></Point>"
,41520487,,,,,,-111.9477162,33.370461,"<Point><coordinates>-111.9477162,33.370461</coordinates></Point>"
,42208619,,,,,,-111.9166634,33.3967307,"<Point><coordinates>-111.9166634,33.3967307</coordinates></Point>"
,41520491,,,,,,-111.9477321,33.3696695,"<Point><coordinates>-111.9477321,33.3696695</coordinates></Point>"
,41913709,,,,,,-111.9484893,33.3716986,"<Point><coordinates>-111.9484893,33.3716986</coordinates></Point>"
,41520494,,,,,,-111.9477082,33.3688422,"<Point><coordinates>-111.9477082,33.3688422</coordinates></Point>"
,41520498,,,,,,-111.9477081,33.3680054,"<Point><coordinates>-111.9477081,33.3680054</coordinates></Point>"
,4351774068,,,,,,-111.8930296,33.3930289,"<Point><coordinates>-111.8930296,33.3930289</coordinates></Point>"
,41520505,,,,,,-111.944268,33.4307934,"<Point><coordinates>-111.944268,33.4307934</coordinates></Point>"
,41520506,,,,,,-111.9442567,33.4295155,"<Point><coordinates>-111.9442567,33.4295155</coordinates></Point>"
,4104818042,,,,,,-111.9263519,33.4360228,"<Point><coordinates>-111.9263519,33.4360228</coordinates></Point>"
,4104818044,,,,,,-111.9263517,33.4362445,"<Point><coordinates>-111.9263517,33.4362445</coordinates></Point>"
,41520509,,,,,,-111.9443341,33.4291446,"<Point><coordinates>-111.9443341,33.4291446</coordinates></Point>"
,4104818046,,,,,,-111.9261725,33.4359763,"<Point><coordinates>-111.9261725,33.4359763</coordinates></Point>"
,4104818043,,,,,,-111.9261724,33.4363675,"<Point><coordinates>-111.9261724,33.4363675</coordinates></Point>"
,41782656,,,,,,-111.9652701,33.4248824,"<Point><coordinates>-111.9652701,33.4248824</coordinates></Point>"
,41520512,,,,,,-111.9442825,33.4254831,"<Point><coordinates>-111.9442825,33.4254831</coordinates></Point>"
,4104818047,,,,,,-111.9261721,33.4371623,"<Point><coordinates>-111.9261721,33.4371623</coordinates></Point>"
,41520515,,,,,,-111.9443033,33.4243197,"<Point><coordinates>-111.9443033,33.4243197</coordinates></Point>"
,42241412,,,,,,-111.9518901,33.3631452,"<Point><coordinates>-111.9518901,33.3631452</coordinates></Point>"
,41520518,,,,,,-111.9442993,33.4231771,"<Point><coordinates>-111.9442993,33.4231771</coordinates></Point>"
,42208649,,,,,,-111.9173461,33.3873076,"<Point><coordinates>-111.9173461,33.3873076</coordinates></Point>"
,41520521,,,,,,-111.9442661,33.4218936,"<Point><coordinates>-111.9442661,33.4218936</coordinates></Point>"
,41913739,,,,,,-111.946661,33.3717439,"<Point><coordinates>-111.946661,33.3717439</coordinates></Point>"
,41520523,,,,,,-111.9442498,33.420638,"<Point><coordinates>-111.9442498,33.420638</coordinates></Point>"
,41520525,,,,,,-111.9442498,33.4203483,"<Point><coordinates>-111.9442498,33.4203483</coordinates></Point>"
,41913743,,,,,,-111.9459515,33.3717405,"<Point><coordinates>-111.9459515,33.3717405</coordinates></Point>"
,41520528,,,,,,-111.944246,33.4194019,"<Point><coordinates>-111.944246,33.4194019</coordinates></Point>"
,41520531,,,,,,-111.9442453,33.4189174,"<Point><coordinates>-111.9442453,33.4189174</coordinates></Point>"
,42241427,,,,,,-111.9493839,33.3631452,"<Point><coordinates>-111.9493839,33.3631452</coordinates></Point>"
,41520533,,,,,,-111.9442439,33.4177833,"<Point><coordinates>-111.9442439,33.4177833</coordinates></Point>"
,41520536,,,,,,-111.944241,33.4168222,"<Point><coordinates>-111.944241,33.4168222</coordinates></Point>"
